"publish_date","Central Asia","Eastern Asia","Eastern Europe","Latin America and the Caribbean","Northern Africa","Northern America","Oceania","Others","South-eastern Asia","Southern Asia","Sub-Saharan Africa","West Europe","Western Asia"
2020-11-15,14.2857142857143,12.4285714285714,1435.71428571429,1562.71428571429,172.857142857143,1196.28571428571,2.57142857142857,10.7142857142857,153.714285714286,1027.42857142857,102.714285714286,2754.14285714286,353.428571428571
2020-11-16,13.5714285714286,11.7142857142857,1455.28571428571,1641.71428571429,184,1054.42857142857,2.57142857142857,11,152.857142857143,1019.42857142857,110.428571428571,2814.28571428571,359.142857142857
2020-11-17,13.2857142857143,12,1463.42857142857,1647.14285714286,185.285714285714,1257.14285714286,2.14285714285714,10.7142857142857,127.857142857143,1089.57142857143,113,2861,365.428571428571
2020-11-18,13.4285714285714,11.5714285714286,1473.57142857143,1655.14285714286,169.857142857143,1271.42857142857,2.57142857142857,12.2857142857143,145,962.142857142857,115.428571428571,2910.28571428571,354.857142857143
2020-11-19,13.5714285714286,11.7142857142857,1507.42857142857,1672.57142857143,186.142857142857,1232.42857142857,2.71428571428571,12.8571428571429,157.714285714286,1037.85714285714,125.857142857143,2953.71428571429,361.428571428571
2020-11-20,13.8571428571429,12.7142857142857,1580,1700.42857142857,191.571428571429,1297.28571428571,2.85714285714286,13.7142857142857,166.142857142857,1046.42857142857,131.571428571429,2956.14285714286,359.142857142857
2020-11-21,14,14,1620,1627.28571428571,198,1416.85714285714,2.85714285714286,13.4285714285714,160.857142857143,1016,131.142857142857,3042.14285714286,377.142857142857
2020-11-22,12.8571428571429,14.7142857142857,1636.14285714286,1661.42857142857,201.571428571429,1497.71428571429,3,14.5714285714286,161.285714285714,1108.85714285714,136.571428571429,3038.71428571429,378.857142857143
2020-11-23,13.1428571428571,15.8571428571429,1653.28571428571,1562.28571428571,198.714285714286,1700.57142857143,3.14285714285714,14.1428571428571,164.571428571429,1130.42857142857,141.428571428571,3016.14285714286,384.714285714286
2020-11-24,13.2857142857143,14.5714285714286,1670.85714285714,1547.42857142857,191,1555.57142857143,2.85714285714286,14.2857142857143,187.857142857143,1131.71428571429,139.142857142857,3076.14285714286,387.857142857143
